Emp ID,Office InTime,Office OutTime,Area,Area Lat,Area Long
448,6:00:00,15:00:00,BORIVALI (E),19.2240612,72.8666469
449,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
450,6:00:00,15:00:00,MANKHURD,19.0558482,72.9281589
452,6:00:00,15:00:00,KOPRI,19.179211,72.970399
453,6:00:00,15:00:00,TROMBAY,19.0137721,72.8953023
454,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
455,6:00:00,15:00:00,GOREGAON (E),19.1551485,72.8678551
457,6:00:00,15:00:00,ANDHERI (W),19.1363246,72.82766
458,6:00:00,15:00:00,NERUL (W),19.0355766,73.0228173
459,6:00:00,15:00:00,VASAI (E),19.3942114,72.8633635
460,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
461,6:00:00,15:00:00,GHATKOPAR (E),19.0796375,72.9070116
462,6:00:00,15:00:00,DHARAVI,19.0402084,72.8508504
463,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
465,6:00:00,15:00:00,SEWREE,18.9985832,72.8547291
466,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
467,6:00:00,15:00:00,ANDHERI (E),19.1154908,72.8726952
469,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
470,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
472,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
473,6:00:00,15:00:00,MAHIM (E),19.0386825,72.8490338
474,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
475,6:00:00,15:00:00,MALAD (W),19.1827551,72.8401539
476,6:00:00,15:00:00,BHANDUP (W),19.1509879,72.9315251
478,6:00:00,15:00:00,KOPARKHAIRANE,19.1616388,72.9964269
480,6:00:00,15:00:00,MALAD (W),19.1827551,72.8401539
481,6:00:00,15:00:00,VASAI (W),19.3666371,72.8160976
482,6:00:00,15:00:00,AIROLI,19.157935,72.9934762
483,6:00:00,15:00:00,KANDIVALI (E),19.20212,72.856186
484,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
485,6:00:00,15:00:00,BANDRA (E),19.060516,72.850432
487,6:00:00,15:00:00,VASAI (E),19.3942114,72.8633635
488,6:00:00,15:00:00,THANE (W),19.2444738,72.9814877
489,6:00:00,15:00:00,GHANSOLI,19.1253629,72.9992013
